0.8928571428571429
class4,p
Ib,0.8113333333333334
II,0.916
nonevent,0.1
Ia,1.0
Ia,0.9926666666666667
Ib,0.9846666666666667
nonevent,0.008666666666666666
nonevent,0.45066666666666666
nonevent,0.162
nonevent,0.262
Ib,0.9966666666666667
Ia,0.9926666666666667
nonevent,0.28933333333333333
nonevent,0.054
nonevent,0.21466666666666667
nonevent,0.21733333333333332
II,0.9846666666666667
Ia,0.9993333333333333
Ia,0.8033333333333333
Ia,0.9973333333333333
II,0.998
nonevent,0.0026666666666666666
nonevent,0.066
Ib,0.8086666666666666
II,0.8653333333333333
Ib,0.8146666666666667
nonevent,0.022
Ia,1.0
nonevent,0.07466666666666667
nonevent,0.264
Ib,1.0
nonevent,0.009333333333333334
nonevent,0.14533333333333334
nonevent,0.21733333333333332
nonevent,0.078
II,0.616
nonevent,0.023333333333333334
Ib,0.9966666666666667
II,0.6886666666666666
nonevent,0.03
II,0.8553333333333333
nonevent,0.05733333333333333
nonevent,0.0026666666666666666
nonevent,0.174
nonevent,0.186
nonevent,0.308
nonevent,0.19266666666666668
nonevent,0.056
nonevent,0.016666666666666666
II,0.848
II,0.9513333333333334
nonevent,0.0033333333333333335
nonevent,0.006
Ia,0.8806666666666667
nonevent,0.037333333333333336
II,0.9333333333333333
nonevent,0.05266666666666667
nonevent,0.042666666666666665
II,0.9173333333333333
II,0.5433333333333333
Ib,0.9666666666666667
nonevent,0.06266666666666666
nonevent,0.478
nonevent,0.14066666666666666
Ib,0.9926666666666667
Ib,0.584
Ib,0.916
II,0.8086666666666666
nonevent,0.19666666666666666
nonevent,0.11266666666666666
Ia,0.8026666666666666
Ib,0.9693333333333334
nonevent,0.06466666666666666
Ib,0.994
nonevent,0.008
II,0.8326666666666667
II,0.9466666666666667
Ia,0.9226666666666666
II,1.0
II,0.9526666666666667
nonevent,0.092
nonevent,0.154
Ia,0.71
nonevent,0.009333333333333334
nonevent,0.08066666666666666
nonevent,0.012
nonevent,0.118
nonevent,0.09866666666666667
nonevent,0.11266666666666666
nonevent,0.06533333333333333
Ib,0.9646666666666667
nonevent,0.294
Ib,0.9933333333333333
nonevent,0.03
II,0.9306666666666666
nonevent,0.05266666666666667
nonevent,0.036
Ib,0.7853333333333333
nonevent,0.018666666666666668
II,0.9346666666666666
nonevent,0.03866666666666667
nonevent,0.004666666666666667
Ib,0.9953333333333333
nonevent,0.13666666666666666
nonevent,0.196
nonevent,0.043333333333333335
II,0.9593333333333334
nonevent,0.08933333333333333
nonevent,0.20933333333333334
nonevent,0.016666666666666666
II,0.874
Ia,0.9986666666666667
nonevent,0.072
nonevent,0.322
II,1.0
II,0.9873333333333333
nonevent,0.216
II,0.6946666666666667
nonevent,0.050666666666666665
nonevent,0.24266666666666667
II,0.9373333333333334
II,0.9793333333333333
Ib,0.9933333333333333
nonevent,0.044
nonevent,0.02
II,0.8066666666666666
II,0.9733333333333334
nonevent,0.042666666666666665
II,1.0
II,0.8653333333333333
nonevent,0.13466666666666666
II,0.89
II,0.864
nonevent,0.4553333333333333
nonevent,0.14
Ib,0.6646666666666666
II,0.5313333333333333
Ib,0.7946666666666666
nonevent,0.005333333333333333
nonevent,0.14
Ib,0.9713333333333334
II,0.9473333333333334
nonevent,0.043333333333333335
nonevent,0.008666666666666666
nonevent,0.09533333333333334
Ib,0.8813333333333333
II,1.0
nonevent,0.0006666666666666666
nonevent,0.0033333333333333335
Ib,0.79
nonevent,0.007333333333333333
nonevent,0.374
nonevent,0.49533333333333335
II,0.8533333333333334
nonevent,0.24133333333333334
nonevent,0.09866666666666667
II,1.0
nonevent,0.49733333333333335
Ib,0.998
Ib,0.648
II,0.9993333333333333
nonevent,0.05466666666666667
nonevent,0.024
Ib,0.8613333333333333
Ib,0.9626666666666667
nonevent,0.005333333333333333
nonevent,0.023333333333333334
Ia,0.998
Ia,1.0
Ib,0.97
Ia,0.7626666666666667
II,0.884
Ia,0.9993333333333333
nonevent,0.43333333333333335
nonevent,0.14
nonevent,0.04533333333333334
Ib,0.826
II,1.0
Ib,0.938
nonevent,0.20933333333333334
Ib,0.8326666666666667
nonevent,0.4553333333333333
II,0.9993333333333333
nonevent,0.14733333333333334
nonevent,0.33866666666666667
nonevent,0.027333333333333334
Ib,0.9126666666666666
nonevent,0.2693333333333333
nonevent,0.2813333333333333
Ia,0.8513333333333334
II,0.9993333333333333
II,0.7993333333333333
Ib,0.964
nonevent,0.008
nonevent,0.14066666666666666
nonevent,0.04066666666666666
nonevent,0.03666666666666667
II,0.7373333333333333
Ib,0.9993333333333333
II,0.99
II,0.952
nonevent,0.07066666666666667
II,0.604
nonevent,0.0013333333333333333
nonevent,0.002
nonevent,0.011333333333333334
Ib,0.8633333333333333
nonevent,0.02666666666666667
II,0.6166666666666667
nonevent,0.23866666666666667
Ib,0.994
nonevent,0.12866666666666668
II,0.9386666666666666
Ia,0.8653333333333333
Ib,0.78
II,0.986
II,0.9633333333333334
II,0.9073333333333333
Ib,0.732
II,0.9206666666666666
nonevent,0.12133333333333333
nonevent,0.10533333333333333
Ib,0.906
Ia,0.996
II,0.9973333333333333
nonevent,0.12133333333333333
nonevent,0.014
Ia,0.7653333333333333
nonevent,0.4493333333333333
nonevent,0.114
nonevent,0.15333333333333332
nonevent,0.078
nonevent,0.4653333333333333
nonevent,0.012
Ia,1.0
nonevent,0.3333333333333333
Ib,0.986
Ia,1.0
II,0.9573333333333334
nonevent,0.438
nonevent,0.164
nonevent,0.002
II,0.9266666666666666
nonevent,0.037333333333333336
nonevent,0.238
Ia,0.9366666666666666
nonevent,0.008666666666666666
nonevent,0.0
II,0.5473333333333333
nonevent,0.17733333333333334
Ib,1.0
II,0.8113333333333334
nonevent,0.09066666666666667
Ia,0.516
Ia,0.6933333333333334
nonevent,0.47533333333333333
Ia,0.5953333333333334
II,0.862
Ia,0.566
nonevent,0.3406666666666667
Ia,0.9973333333333333
nonevent,0.2846666666666667
nonevent,0.282
nonevent,0.064
Ib,0.986
Ib,0.9953333333333333
Ib,1.0
Ib,0.9953333333333333
Ib,1.0
nonevent,0.362
nonevent,0.015333333333333332
II,0.9966666666666667
II,0.9733333333333334
Ib,0.784
nonevent,0.11333333333333333
nonevent,0.132
Ib,1.0
nonevent,0.15333333333333332
Ib,0.9613333333333334
nonevent,0.26666666666666666
Ib,0.974
nonevent,0.2986666666666667
nonevent,0.035333333333333335
nonevent,0.084
nonevent,0.192
nonevent,0.474
nonevent,0.17866666666666667
nonevent,0.16466666666666666
Ia,0.7953333333333333
nonevent,0.0013333333333333333
nonevent,0.36866666666666664
Ia,0.838
nonevent,0.016
nonevent,0.06533333333333333
II,0.9586666666666667
nonevent,0.030666666666666665
Ia,1.0
II,0.9366666666666666
II,0.9133333333333333
Ib,0.9966666666666667
nonevent,0.16666666666666666
nonevent,0.07533333333333334
Ib,0.9993333333333333
nonevent,0.0006666666666666666
nonevent,0.006
Ia,0.7633333333333333
II,0.9986666666666667
nonevent,0.046
nonevent,0.016666666666666666
nonevent,0.2846666666666667
nonevent,0.05466666666666667
nonevent,0.18066666666666667
Ib,0.934
nonevent,0.08066666666666666
nonevent,0.022
Ib,0.9933333333333333
nonevent,0.043333333333333335
nonevent,0.388
Ib,1.0
nonevent,0.388
nonevent,0.23333333333333334
nonevent,0.048
nonevent,0.04066666666666666
Ib,0.9106666666666666
nonevent,0.36933333333333335
nonevent,0.316
II,0.572
nonevent,0.01
nonevent,0.12666666666666668
II,0.8893333333333333
nonevent,0.04733333333333333
nonevent,0.2966666666666667
nonevent,0.122
nonevent,0.31333333333333335
II,0.816
II,0.7086666666666667
nonevent,0.27666666666666667
nonevent,0.118
nonevent,0.078
II,0.762
Ib,0.9946666666666667
Ia,1.0
II,0.884
nonevent,0.15866666666666668
nonevent,0.136
nonevent,0.32866666666666666
Ib,0.9953333333333333
nonevent,0.38
Ia,0.546
nonevent,0.06266666666666666
nonevent,0.128
Ib,0.9126666666666666
II,0.9986666666666667
nonevent,0.29933333333333334
nonevent,0.05266666666666667
nonevent,0.13066666666666665
nonevent,0.11866666666666667
II,0.982
II,0.5486666666666666
nonevent,0.11733333333333333
Ia,0.9886666666666667
nonevent,0.006666666666666667
II,0.6833333333333333
nonevent,0.10666666666666667
Ib,0.9973333333333333
nonevent,0.014666666666666666
nonevent,0.2793333333333333
nonevent,0.082
nonevent,0.011333333333333334
Ia,0.9733333333333334
II,0.7066666666666667
nonevent,0.07333333333333333
nonevent,0.3933333333333333
nonevent,0.005333333333333333
II,0.946
nonevent,0.08866666666666667
Ib,0.9926666666666667
II,0.6373333333333333
nonevent,0.043333333333333335
nonevent,0.05466666666666667
Ib,0.804
nonevent,0.326
II,0.83
nonevent,0.029333333333333333
nonevent,0.22933333333333333
Ib,0.8853333333333333
nonevent,0.014666666666666666
Ib,0.99
nonevent,0.011333333333333334
Ib,0.9906666666666667
